session_id,msisdn,package_code,used_imei,session_time,network_type,payload_mb
CDR000000065,85220844388,PKG-006,350000000006830,2023-08-22 03:32:00,4G,309.09
CDR000000066,81150055775,PKG-006,350000000007599,2023-03-11 10:36:00,4G,1904.95
CDR000000067,81236122980,PKG-002,350000000004790,2023-03-15 21:50:00,4G,1831.2
CDR000000068,81241970910,PKG-001,350000000001349,2023-09-16 11:18:00,4G,548.32
CDR000000069,82111211977,PKG-008,350000000003022,2023-08-29 20:48:00,3G,1428.27
CDR000000070,81182899300,PKG-005,350000000523760,2023-06-28 18:26:00,4G,670.33
CDR000000071,81186371711,PKG-007,350000000616093,2023-08-16 00:22:00,4G,1836.37
CDR000000072,81158987022,PKG-006,350000000347875,2023-05-11 01:25:00,5G,1401.44
CDR000000073,81256056238,PKG-009,350000000003398,2023-07-05 20:37:00,4G,1380.73
CDR000000074,82137031687,PKG-006,350000000182239,2023-04-21 08:54:00,4G,1874.76
CDR000000075,85271202853,PKG-010,350000000005879,2023-09-19 18:25:00,4G,902.43
CDR000000076,85211487266,PKG-009,350000000007926,2023-08-18 06:28:00,4G,1470.48
CDR000000077,82212202161,PKG-001,350000000005210,2023-09-06 17:38:00,4G,1259.93
CDR000000078,81143867103,PKG-002,350000000562682,2023-07-31 20:06:00,4G,591.43
CDR000000079,85255216838,PKG-007,350000000299847,2023-10-08 18:06:00,5G,515.46
CDR000000080,81257954873,PKG-002,350000000007126,2023-10-27 12:56:00,5G,312.87
CDR000000081,81241126430,PKG-008,350000000005497,2023-04-05 01:18:00,4G,1183.69
CDR000000082,82233455497,PKG-003,350000000188989,2023-03-26 12:45:00,4G,1929.33
CDR000000083,81286601054,PKG-007,350000000990838,2023-07-30 20:48:00,4G,94.83
CDR000000084,81165197210,PKG-004,350000000001670,2023-10-22 10:11:00,4G,357.34
CDR000000085,85224710819,PKG-010,350000000003389,2023-12-16 02:18:00,3G,1633.18
CDR000000086,82199375370,PKG-005,350000000001958,2023-03-30 14:10:00,3G,1144.6
CDR000000087,85222674413,PKG-004,350000000004598,2023-06-20 19:33:00,3G,803.33
CDR000000088,85266271715,PKG-004,350000000015984,2023-04-07 19:07:00,4G,1397.07
CDR000000089,82114665972,PKG-010,350000000960922,2023-06-26 16:37:00,4G,471.93
CDR000000090,82213323569,PKG-010,350000000002607,2023-10-15 22:30:00,4G,235.38
CDR000000091,81166605178,PKG-001,350000000001669,2023-11-04 01:38:00,4G,1777.3
CDR000000092,81178179150,PKG-007,350000000002127,2023-05-28 04:30:00,4G,1530.53
CDR000000093,85240436142,PKG-007,350000000006567,2023-01-26 00:18:00,4G,50.96
CDR000000094,85290445183,PKG-008,350000000660293,2023-04-21 09:31:00,4G,118.87
CDR000000095,85251972283,PKG-009,350000000003303,2023-05-02 22:47:00,4G,1546.33
CDR000000096,82162756880,PKG-007,350000000791344,2023-03-30 16:25:00,4G,840.53
CDR000000097,81238562471,PKG-008,350000000001276,2023-03-17 21:17:00,4G,475.86
CDR000000098,82229906584,PKG-003,350000000002429,2023-09-25 17:41:00,4G,1468.57
CDR000000099,82125756247,PKG-001,350000000008872,2023-02-19 10:08:00,3G,1311.26
CDR000000100,82185448171,PKG-003,350000000008809,2023-04-07 14:43:00,3G,1825.31
CDR000000101,82111010698,PKG-009,350000000004592,2023-08-05 14:56:00,4G,609.69
CDR000000102,81219985521,PKG-009,350000009999999,2023-07-20 07:14:00,4G,255.65
CDR000000103,82270906712,PKG-009,350000000003519,2023-08-23 14:27:00,4G,558.95
CDR000000104,85279714808,PKG-009,350000000008428,2023-11-18 13:34:00,4G,124.49
CDR000000106,82220729949,PKG-004,350000000480057,2023-05-06 04:48:00,3G,2002.77
CDR000000107,82271438586,PKG-004,350000009999999,2023-03-07 13:29:00,4G,423.78
CDR000000108,85274884806,PKG-009,350000000633327,2023-09-19 01:24:00,5G,1432.6
CDR000000109,81237025404,PKG-009,350000000002543,2023-05-13 07:24:00,4G,1712.57
CDR000000110,82236138632,PKG-007,350000000006927,2023-08-20 13:20:00,4G,1598.5
CDR000000111,82127304677,PKG-005,350000009999999,2023-09-06 12:51:00,5G,283.59
CDR000000112,81227380456,PKG-002,350000000007062,2023-02-26 21:40:00,4G,1727.01
CDR000000113,82235882032,PKG-008,350000000006505,2023-03-30 16:16:00,5G,306.4
CDR000000114,85229498858,PKG-003,350000000003336,2023-05-16 04:49:00,4G,1243.25
CDR000000115,81264844583,PKG-001,350000000873431,2023-09-19 03:14:00,4G,678.37
CDR000000116,81159655005,PKG-001,350000000112265,2023-05-16 09:41:00,4G,1223.68
CDR000000117,81235442228,PKG-006,350000000007686,2023-11-14 13:15:00,4G,836.89
CDR000000118,82138438280,PKG-001,350000000003524,2023-02-27 16:19:00,4G,1965.97
CDR000000119,81235785661,PKG-009,350000000701351,2023-03-04 09:44:00,5G,296.6
CDR000000120,82110381657,PKG-001,350000009999999,2023-12-10 09:07:00,4G,1026.81
CDR000000121,81284451950,PKG-004,350000000007764,2023-07-04 15:27:00,4G,1584.03
CDR000000122,81253745770,PKG-005,350000009999999,2023-05-28 06:39:00,3G,522.06
CDR000000123,82110562189,PKG-007,350000009999999,2023-03-27 17:50:00,4G,1911.92
CDR000000124,82243369582,PKG-002,350000000002620,2023-05-14 20:35:00,3G,1946.74
CDR000000126,85297017195,PKG-007,350000000004579,2023-04-07 04:02:00,4G,1914.59
CDR000000127,81257575788,PKG-004,350000000005037,2023-06-15 11:36:00,4G,1954.82
CDR000000128,82158905855,PKG-008,350000000007190,2023-09-16 06:20:00,4G,813.48
CDR000000129,82133126722,PKG-004,350000000006881,2023-08-20 12:56:00,4G,0.01
CDR000000130,82279188295,PKG-010,350000000003040,2023-05-11 08:34:00,3G,674.49
CDR000000131,85295215719,PKG-005,350000000002868,2023-10-28 16:30:00,4G,962.81
CDR000000132,82182975235,PKG-004,350000000005557,2023-05-25 08:47:00,4G,912.55
CDR000000134,81251885199,PKG-008,350000000539717,2023-09-30 15:41:00,4G,456.18
CDR000000135,85293369713,PKG-009,350000000008010,2023-10-26 09:53:00,4G,1841.42
CDR000000136,82122579156,PKG-003,350000000035729,2023-06-21 16:35:00,4G,1125.12
CDR000000137,85219846341,PKG-001,350000000008111,2023-04-22 02:31:00,4G,212.11
CDR000000138,81213961935,PKG-005,350000000001672,2023-10-14 03:02:00,4G,827.09
CDR000000139,82179882515,PKG-008,350000000008701,2023-05-19 00:47:00,4G,167.56
CDR000000140,81249823198,PKG-004,350000000004240,2023-03-02 16:55:00,4G,1252.53
CDR000000141,81221256841,PKG-004,350000009999999,2023-09-15 16:43:00,4G,1469.92
CDR000000142,82184373520,PKG-002,350000000006545,2023-03-10 14:44:00,4G,1550.01
CDR000000143,85299065911,PKG-001,350000000008750,2023-06-24 09:20:00,3G,1149.38
CDR000000144,85230831101,PKG-002,350000000909484,2023-09-04 16:55:00,4G,51.5
CDR000000147,81187861865,PKG-002,350000000003784,2023-07-06 12:01:00,4G,584.28
CDR000000149,85261714018,PKG-010,350000000001128,2023-03-13 17:06:00,4G,1795.53
CDR000000150,85289637142,PKG-008,350000000001596,2023-09-06 17:06:00,4G,448.99
CDR000000151,82118330622,PKG-002,350000000005091,2023-03-08 19:17:00,4G,731.84
CDR000000152,85247609057,PKG-004,350000000002772,2023-08-04 13:02:00,4G,429.08
CDR000000153,85231946988,PKG-008,350000000007510,2023-09-06 10:40:00,4G,1847.6
CDR000000154,85251270676,PKG-003,350000009999999,2023-11-08 09:00:00,4G,326.87
CDR000000155,81234349648,PKG-003,350000000003271,2023-02-28 05:36:00,4G,623.7
CDR000000156,82289219345,PKG-002,350000000008165,2023-09-16 06:15:00,4G,1442.64
CDR000000157,85283100099,PKG-006,350000000008326,2023-03-05 07:15:00,4G,403.49
CDR000000158,82294776806,PKG-004,350000000891904,2023-06-16 09:22:00,5G,580.17
CDR000000159,81217651906,PKG-001,350000000006452,2023-10-20 19:22:00,4G,642.32
CDR000000160,81139156347,PKG-004,350000000946697,2023-10-22 04:06:00,5G,1363.59
CDR000000161,82138946639,PKG-003,350000000004638,2023-07-15 11:44:00,5G,855.4
CDR000000162,82126706665,PKG-007,350000000008644,2023-03-16 08:06:00,4G,117.01
CDR000000163,85259108971,PKG-006,350000000249105,2023-02-16 12:10:00,3G,684.63
CDR000000164,85257078176,PKG-003,350000000780334,2023-04-14 10:53:00,5G,354.37
CDR000000165,81288410510,PKG-010,350000000008394,2023-06-24 16:13:00,4G,1153.19
CDR000000166,82212497543,PKG-007,350000000007479,2023-08-02 10:41:00,3G,649.68
CDR000000168,82187778991,PKG-006,350000000004296,2023-01-22 01:26:00,3G,1965.16
CDR000000169,81166771606,PKG-003,350000000006239,2023-09-23 21:45:00,4G,336.48
CDR000000170,82211039434,PKG-002,350000000006673,2023-10-17 14:52:00,5G,977.73
CDR000000171,81155899195,PKG-002,350000000007729,2023-10-03 12:40:00,5G,35.86
CDR000000172,81224013308,PKG-006,350000000006801,2023-06-25 11:09:00,4G,233.92
CDR000000173,85233694603,PKG-003,350000000001978,2023-02-11 06:54:00,4G,855.4
CDR000000174,81241129392,PKG-003,350000000005910,2023-07-05 11:41:00,4G,1173.02
CDR000000175,85223733102,PKG-009,350000000758569,2023-05-15 17:50:00,4G,329.37
CDR000000176,82132473498,PKG-004,350000000008285,2023-01-24 16:48:00,5G,394.31
CDR000000177,81278794503,PKG-001,350000000001729,2023-07-08 17:26:00,4G,1811.28
CDR000000178,82296943425,PKG-001,350000000005645,2023-02-07 14:21:00,4G,562.1
CDR000000179,81164431888,PKG-007,350000009999999,2023-04-02 17:07:00,4G,1513.54
CDR000000180,81266300955,PKG-010,350000000007858,2023-10-13 14:05:00,4G,97.63
CDR000000181,81295906554,PKG-002,350000000001347,2023-07-02 12:10:00,5G,511.1
CDR000000182,82248257590,PKG-008,350000000008396,2023-02-22 02:40:00,4G,1327.09
CDR000000183,81245746830,PKG-010,350000000003414,2023-03-13 06:35:00,4G,1259.03
CDR000000184,81264589218,PKG-008,350000000802221,2023-08-19 22:19:00,4G,216.07
CDR000000185,82272831627,PKG-003,350000000779158,2023-11-04 14:24:00,4G,1570.88
CDR000000186,81132853489,PKG-007,350000000143176,2023-07-15 02:37:00,3G,608.9
CDR000000187,81177368290,PKG-001,350000000288816,2023-07-11 20:53:00,4G,1553.39
CDR000000188,81220573179,PKG-006,350000000001510,2023-03-25 19:36:00,4G,251.72
CDR000000189,81230569446,PKG-006,350000000003444,2023-01-14 04:02:00,4G,1521.62
CDR000000190,81298155057,PKG-003,350000000317787,2023-09-14 19:45:00,5G,864.23
CDR000000191,81280975127,PKG-003,350000000004552,2023-10-03 15:26:00,4G,657.54
CDR000000192,82269643151,PKG-001,350000000003201,2023-03-08 08:05:00,5G,633.36
CDR000000193,81174717558,PKG-009,350000000007017,2023-05-14 14:41:00,3G,995.81
CDR000000194,82274781839,PKG-003,350000000003593,2023-01-23 09:54:00,4G,1949.6
CDR000000196,85280215642,PKG-007,350000000004956,2023-02-11 19:56:00,5G,173.29
CDR000000197,81284707166,PKG-003,350000000008310,2023-01-29 07:26:00,4G,87.32
CDR000000198,82124661155,PKG-004,350000000008028,2023-07-29 02:12:00,4G,198.72
CDR000000200,82243913553,PKG-002,350000000186288,2023-09-30 15:27:00,4G,1598.83
CDR000000201,81245476716,PKG-003,350000000002911,2023-11-16 01:14:00,5G,111.92
CDR000000202,82251079555,PKG-008,350000000001535,2023-11-24 14:54:00,4G,960.96
CDR000000203,81288201510,PKG-009,350000009999999,2023-07-29 11:54:00,4G,311.6
CDR000000204,81119847764,PKG-008,350000000003116,2023-03-10 00:47:00,4G,925.44
CDR000000205,85240866513,PKG-010,350000000595378,2023-04-07 20:56:00,4G,599.52
CDR000000206,82175540680,PKG-005,350000009999999,2023-06-26 06:07:00,4G,1995.95
CDR000000207,81259779039,PKG-009,350000000004114,2023-07-28 02:53:00,4G,2030.0
CDR000000208,82254087656,PKG-006,350000000001760,2023-06-27 22:52:00,4G,1103.47
CDR000000209,82298028710,PKG-004,350000000004220,2023-02-22 05:02:00,4G,486.29
CDR000000211,82155241891,PKG-004,350000000653439,2023-06-14 08:22:00,3G,1073.1
CDR000000212,85292066923,PKG-009,350000000001949,2023-11-14 04:06:00,3G,464.35
CDR000000214,82127330734,PKG-010,350000000004803,2023-10-08 08:33:00,4G,1173.11
CDR000000215,82290897250,PKG-004,350000000006511,2023-07-09 18:45:00,4G,1301.48
CDR000000216,85262040130,PKG-005,350000000003887,2023-11-01 21:21:00,4G,935.94
CDR000000217,81287632030,PKG-002,350000000002273,2023-01-08 10:36:00,4G,33.36
CDR000000219,81258783242,PKG-003,350000000002725,2023-07-15 22:14:00,4G,550.86
CDR000000220,82171824246,PKG-009,350000000006415,2023-07-15 14:14:00,4G,1639.96
CDR000000221,82147452687,PKG-005,350000000001910,2023-03-19 15:58:00,4G,1700.25
CDR000000222,81122864169,PKG-003,350000000007922,2023-08-15 16:02:00,4G,87.59
CDR000000223,85277186484,PKG-001,350000000003546,2023-09-27 12:47:00,4G,897.65
CDR000000224,82276450117,PKG-008,350000000007395,2023-05-28 08:43:00,4G,574.18
CDR000000225,81245728464,PKG-005,350000000005318,2023-08-11 21:32:00,4G,893.92
CDR000000227,81115648246,PKG-006,350000000835791,2023-10-14 07:19:00,5G,1893.59
CDR000000228,81279219368,PKG-001,350000000005547,2023-03-29 22:20:00,5G,515.69
CDR000000229,85279589730,PKG-004,350000000001765,2023-06-21 14:02:00,4G,1968.63
CDR000000230,81271347854,PKG-005,350000000002132,2023-11-12 05:09:00,4G,1796.84
CDR000000231,85267552658,PKG-002,350000000001472,2023-09-05 19:30:00,5G,865.91
CDR000000232,85255641533,PKG-001,350000000001179,2023-09-30 18:28:00,4G,1758.79
CDR000000233,81176416495,PKG-001,350000009999999,2023-10-01 12:27:00,4G,575.35
CDR000000234,82165494882,PKG-008,350000000008623,2023-08-16 07:06:00,5G,1768.24
CDR000000235,85243344075,PKG-002,350000000521020,2023-02-13 18:53:00,4G,1483.04
CDR000000236,82164351668,PKG-003,350000000001248,2023-10-16 11:08:00,5G,1913.17
CDR000000237,82269118360,PKG-007,350000000003942,2023-08-02 01:15:00,3G,1859.44
CDR000000238,85224511256,PKG-007,350000000259312,2023-09-22 22:02:00,5G,1940.92
CDR000000239,81172365406,PKG-005,350000000816854,2023-06-24 00:52:00,4G,284.5
CDR000000240,85279100348,PKG-003,350000000005010,2023-05-25 09:33:00,4G,1038.29
CDR000000241,82277532689,PKG-010,350000000008530,2023-03-30 09:25:00,4G,1047.09
CDR000000242,81285597182,PKG-006,350000000006488,2023-11-16 22:04:00,5G,1370.47
CDR000000243,82117216593,PKG-010,350000000005730,2023-04-25 02:56:00,3G,1630.25
CDR000000244,85243179191,PKG-007,350000000003874,2023-10-27 05:41:00,3G,338.14
CDR000000245,81298482042,PKG-004,350000000005540,2023-10-09 00:18:00,4G,1296.78
CDR000000246,82158590853,PKG-010,350000000003452,2023-08-05 05:21:00,4G,986.59
CDR000000247,82264192951,PKG-007,350000000007917,2023-04-01 15:44:00,4G,1091.31
CDR000000248,82222351971,PKG-008,350000000001166,2023-09-16 02:23:00,4G,750.85
CDR000000249,81257642132,PKG-003,350000000002195,2023-01-11 01:52:00,4G,1620.95
CDR000000250,81154755333,PKG-001,350000000004786,2023-10-28 00:28:00,4G,1632.83
CDR000000251,81156247200,PKG-003,350000000003628,2023-06-27 22:21:00,4G,1076.31
CDR000000252,81135731538,PKG-006,350000000003640,2023-03-08 09:04:00,4G,1650.56
CDR000000253,82138575473,PKG-007,350000000006967,2023-07-15 18:51:00,5G,451.31
CDR000000254,82245151214,PKG-004,350000000271703,2023-05-28 20:22:00,4G,1617.93
CDR000000255,85287944271,PKG-009,350000000001210,2023-06-20 05:19:00,3G,258.99
CDR000000256,81277235571,PKG-007,350000000006715,2023-08-18 08:32:00,4G,402.95
CDR000000257,81230647964,PKG-006,350000000001721,2023-03-27 13:15:00,4G,1479.83
CDR000000258,82256482649,PKG-010,350000000007247,2023-07-15 16:37:00,3G,1992.72
CDR000000259,85237872565,PKG-004,350000000006691,2023-10-03 09:07:00,4G,701.01
CDR000000260,82264522594,PKG-009,350000000007290,2023-04-01 04:27:00,4G,332.37
CDR000000261,81293144896,PKG-005,350000000243903,2023-08-18 06:29:00,3G,816.44
CDR000000262,85217715037,PKG-007,350000000002405,2023-07-04 03:49:00,4G,165.62
CDR000000263,85229240918,PKG-001,350000000001873,2023-04-14 19:30:00,4G,1751.73
CDR000000264,81216219288,PKG-002,350000000005923,2023-05-11 12:30:00,4G,1605.91
CDR000000265,85268659950,PKG-002,350000000004889,2023-10-08 00:52:00,4G,527.69
CDR000000266,81118474292,PKG-009,350000000379497,2023-09-16 13:54:00,5G,656.62
CDR000000267,81139536249,PKG-005,350000000307306,2023-09-26 21:41:00,4G,1728.02
CDR000000268,85232347118,PKG-009,350000000001157,2023-04-08 09:03:00,4G,659.59
CDR000000269,82112125091,PKG-010,350000000004925,2023-04-02 04:33:00,4G,850.1
CDR000000270,81181602912,PKG-002,350000000814891,2023-08-17 15:18:00,4G,1230.37
CDR000000272,81215999012,PKG-010,350000000003440,2023-05-19 04:09:00,4G,857.95
CDR000000273,81227380456,PKG-010,350000000003916,2023-02-26 21:55:00,4G,299.52
CDR000000274,81180287055,PKG-009,350000000046425,2023-09-18 02:24:00,3G,1481.5
CDR000000276,81166496858,PKG-003,350000000255100,2023-02-23 04:52:00,5G,655.12
CDR000000277,81210610437,PKG-006,350000000005806,2023-11-29 07:14:00,4G,0.01
CDR000000278,82225286023,PKG-003,350000000004069,2023-09-09 19:36:00,3G,1711.34
CDR000000279,81250957812,PKG-008,350000000008292,2023-10-09 06:55:00,4G,1671.54
CDR000000280,85268067096,PKG-006,350000000005850,2023-07-05 07:43:00,5G,565.25
CDR000000282,81242784871,PKG-004,350000000391419,2023-10-08 12:53:00,4G,2027.61
CDR000000283,85244217237,PKG-010,350000000008522,2023-10-14 12:31:00,3G,1560.78
CDR000000284,81287563680,PKG-004,350000000008111,2023-05-11 13:14:00,4G,786.29
CDR000000286,81249172459,PKG-003,350000000004266,2023-03-22 09:17:00,4G,1753.67
CDR000000287,85288556865,PKG-009,350000000006663,2023-11-26 22:22:00,4G,1307.53
CDR000000288,85245981958,PKG-003,350000000005863,2023-09-28 01:37:00,5G,1369.56
CDR000000289,81115582859,PKG-010,350000000995649,2023-08-23 02:50:00,4G,1655.67
CDR000000290,82188482114,PKG-003,350000000005869,2023-04-06 17:49:00,4G,928.19
CDR000000291,82198284196,PKG-006,350000000007055,2023-05-27 02:04:00,5G,1380.17
CDR000000292,81149792624,PKG-005,350000000295756,2023-04-17 18:46:00,3G,1514.66
CDR000000293,85295402888,PKG-001,350000000006171,2023-10-19 12:47:00,5G,1077.79
CDR000000294,81255912511,PKG-004,350000000002067,2023-04-28 10:08:00,4G,1521.45
CDR000000295,82176894973,PKG-005,350000000001210,2023-03-27 20:47:00,4G,560.88
CDR000000296,82197667036,PKG-001,350000000001339,2023-04-22 15:44:00,4G,1158.1
CDR000000297,82227762578,PKG-007,350000000004799,2023-01-09 04:56:00,4G,1931.44
CDR000000298,85297580937,PKG-003,350000000005478,2023-03-12 15:48:00,5G,1897.18
CDR000000299,81191829331,PKG-009,350000000005218,2023-03-16 11:19:00,3G,379.24
CDR000000300,85226735383,PKG-004,350000000611219,2023-03-12 18:57:00,4G,1191.46
CDR000000302,82257644204,PKG-005,350000000005125,2023-01-11 07:58:00,4G,2044.33
CDR000000303,81123587234,PKG-002,350000000304796,2023-05-17 01:50:00,4G,1398.48
CDR000000304,81135482270,PKG-006,350000000002464,2023-09-05 17:33:00,5G,437.89
CDR000000305,82114665972,PKG-003,350000000960922,2023-06-30 01:48:00,5G,587.6
CDR000000306,85232820691,PKG-002,350000000006460,2023-10-21 10:29:00,4G,727.13
CDR000000307,85220526644,PKG-003,350000000002958,2023-01-29 19:33:00,3G,2043.03
CDR000000308,82244850160,PKG-002,350000000006294,2023-04-30 04:32:00,4G,634.66
CDR000000309,82294004947,PKG-002,350000000008289,2023-03-06 14:06:00,4G,1220.82
CDR000000310,85234642533,PKG-006,350000000005504,2023-09-24 07:15:00,4G,974.1
CDR000000311,85243044578,PKG-010,350000000003828,2023-08-03 01:49:00,4G,1170.78
CDR000000312,81270673091,PKG-001,350000000004963,2023-10-03 21:38:00,4G,1524.23
CDR000000313,82145771515,PKG-005,350000000682682,2023-09-24 11:18:00,4G,750.33
CDR000000314,82243098129,PKG-002,350000000008659,2023-06-01 19:32:00,4G,1429.22
CDR000000315,82171559272,PKG-005,350000000005389,2023-03-11 04:08:00,4G,2023.26
CDR000000317,81161898227,PKG-008,350000000001620,2023-07-07 19:00:00,5G,1622.87
CDR000000318,85215950502,PKG-005,350000009999999,2023-02-16 01:15:00,4G,612.04
CDR000000319,82113921121,PKG-010,350000000213132,2023-08-04 20:12:00,4G,1426.1
CDR000000320,81175313344,PKG-006,350000009999999,2023-06-30 10:19:00,4G,2030.02
CDR000000321,81262932928,PKG-004,350000000008109,2023-08-11 05:11:00,4G,1520.47
CDR000000322,82296052740,PKG-008,350000009999999,2023-04-18 13:36:00,4G,643.11
CDR000000323,82232004772,PKG-007,350000000007047,2023-11-07 08:13:00,4G,570.85
CDR000000324,81123665081,PKG-001,350000000854256,2023-07-01 01:34:00,5G,1992.72
CDR000000325,82261147061,PKG-001,350000000048206,2023-03-29 13:05:00,4G,1230.9
CDR000000326,81299742610,PKG-007,350000000008208,2023-04-11 02:10:00,5G,1184.86
CDR000000327,82152540006,PKG-008,350000000006466,2023-05-02 04:15:00,4G,1207.66
CDR000000329,82295044942,PKG-009,350000000007133,2023-05-12 19:08:00,5G,1022.82
CDR000000330,81222663306,PKG-006,350000000006853,2023-08-11 08:07:00,4G,1578.31
CDR000000331,81162764996,PKG-006,350000000005356,2023-11-13 12:31:00,5G,1458.02
CDR000000332,81296506566,PKG-008,350000000008172,2023-06-29 19:50:00,4G,1464.16
CDR000000333,81176769217,PKG-005,350000000375743,2023-03-17 21:09:00,4G,707.02
CDR000000334,81276803669,PKG-002,350000000008565,2023-04-01 21:33:00,4G,1151.01
CDR000000335,81149816488,PKG-003,350000000002321,2023-10-26 06:40:00,4G,612.58
CDR000000336,82196558042,PKG-003,350000000001926,2023-12-03 16:23:00,4G,1920.79
CDR000000337,82172731983,PKG-008,350000000538254,2023-02-23 13:50:00,5G,579.72
CDR000000338,82142679990,PKG-005,350000000005308,2023-08-10 10:19:00,4G,739.81
